;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
599,397740,-0.510097,-16.4708
600,398658,-0.536297,-16.5713
601,399578,-0.554227,-16.575
602,400500,-0.533561,-17.2049
603,401424,-0.529164,-17.0083
604,402351,-0.69725,-17.1797
605,403279,-0.617958,-17.2877
606,404210,-0.754143,-17.5757
607,405142,-0.804611,-17.0776
608,406077,-0.900853,-17.304
609,407014,-0.950317,-16.7281
610,407953,-0.996365,-15.9707
611,408895,-1.03567,-15.1858
612,409838,-0.844625,-15.126
613,410784,-0.75081,-14.321
614,411732,-0.755367,-14.6263
615,412682,-0.649459,-14.7424
616,413634,-0.667302,-15.2967
617,414589,-0.68365,-15.1101
618,415546,-0.596824,-15.4744
619,416504,-0.579832,-15.6891
620,417466,-0.558328,-16.4717
621,418429,-0.536919,-16.5132
622,419394,-0.571389,-15.9223
623,420362,-0.609934,-16.3215
624,421332,-0.533741,-16.9805
625,422304,-0.553914,-16.7735
626,423279,-0.569696,-16.956
627,424256,-0.575584,-17.3159
628,425235,-0.597816,-17.401
629,426216,-0.537556,-17.2081
630,427199,-0.57553,-17.3117
631,428185,-0.674044,-17.4238
632,429173,-0.597512,-18.4299
633,430164,-0.695024,-17.9332
634,431156,-0.731444,-18.5913
635,432151,-0.735212,-18.3421
636,433148,-0.754035,-18.6938
637,434148,-0.83606,-18.5412
638,435150,-0.925008,-17.6667
639,436154,-0.89106,-17.2993
640,437160,-0.826854,-18.1534
641,438169,-0.755777,-17.2706
642,439180,-0.645327,-17.9715
643,440194,-0.724182,-18.5518
644,441209,-0.728327,-18.585
645,442227,-0.693555,-18.9092
646,443248,-0.717052,-18.9158
647,444271,-0.716797,-19.1456
648,445296,-0.641301,-19.4667
649,446323,-0.762628,-19.9936
650,447353,-0.828055,-19.5063
651,448386,-0.701348,-20.0862
652,449420,-0.694802,-19.8903
653,450457,-0.706009,-20.3066
654,451497,-0.761681,-20.0037
655,452539,-0.764497,-20.6411
656,453583,-0.805299,-20.5887
